序號,地名,緯度,經度,座標文字,百分比X,百分比Y,Size
1,多坍,32.57352301,35.20418288,"32.5735230, 35.2041829",59.8724,20.7535,0
2,雅博渡口,32.20251352,35.72126879,"32.2025135, 35.7212688",68.5012,32.562,0
3,示劍,32.213,35.283,"32.2130000, 35.2830000",61.1877,32.2282,0
4,疏割,32.2136861,35.66862826,"32.2136861, 35.6686283",67.6227,32.2064,0
5,基列山,32.39426525,35.90783382,"32.3942652, 35.9078338",71.6144,26.4589,0
6,伯特利,31.94,35.24,"31.9400000, 35.2400000",60.4701,40.9172,0
7,伊拿印,31.71888442,35.00221121,"31.7188844, 35.0022112",56.5021,47.9549,0
8,沙微谷,31.76121727,35.33351043,"31.7612173, 35.3335104",62.0306,46.6075,0
9,摩利亞山,31.778,35.235,"31.7780000, 35.2350000",60.3867,46.0734,0
10,伯利恆,31.705,35.2,"31.7050000, 35.2000000",59.8026,48.3968,0
11,以得臺,31.66718579,35.27223932,"31.6671858, 35.2722393",61.0081,49.6004,0
12,希伯崙,31.4867605,35.15098471,"31.4867605, 35.1509847",58.9847,55.3429,0
13,別是巴,31.252,34.791,"31.2520000, 34.7910000",52.9775,62.8149,0
14,西訂谷,30.91738363,35.51131524,"30.9173836, 35.5113152",64.9976,73.465,0
15,所多瑪,31.03743561,35.45925498,"31.0374356, 35.4592550",64.1289,69.644,0
16,基拉耳,31.21071345,34.46560528,"31.2107135, 34.4656053",47.5476,64.1289,0
17,瑣珥,31.00062151,35.50296759,"31.0006215, 35.5029676",64.8583,70.8157,0
18,歌珊,30.9,31.8,"30.9000000, 31.8000000",3.066,74.0183,6
19,西珥山,30.57862626,35.88693152,"30.5786263, 35.8869315",71.2656,84.247,0
20,庇耳·拉海·萊,30.8,34.8,"30.8000000, 34.8000000",53.1277,77.2011,0
